YIELD1,YIELD2,YIELD3,YIELD4
11.48,3.99,4.72,6.49
11.01,6.69,3.69,8.21
11.76,4.8,2.5,7.43
4.43,4.97,6.07,5.46
10.91,4.51,2.91,5.39
11.56,7.19,2.89,5.23
8.42,5.84,2.07,4.49
6.19,5.36,9.62,8.57
8.35,5.56,2.4,6.21
10.39,5.88,4.23,4.27
8.43,4.24,1.98,3.8
9.09,4.85,1.18,6.41
6.54,5.59,1.14,5.99
13.15,5.9,0.82,5.55
11.31,4.33,1.26,4.21
7.84,4.17,3.0,5.55
9.59,4.35,1.56,4.19
9.88,4.72,0.51,3.91
9.19,4.18,0.85,4.68
8.68,4.89,4.35,8.1
8.58,4.2,2.86,6.49
9.99,6.23,0.19,4.63
9.88,2.35,5.38,4.74
7.09,5.26,4.44,5.84
6.84,6.32,2.52,4.29
8.91,4.32,0.33,6.12
11.2,5.88,0.0,2.96
9.53,7.06,3.97,5.88
10.01,7.74,2.1,3.76
8.61,4.4,2.71,7.89
11.78,6.04,3.8,8.08
10.9,7.88,7.09,10.67
8.92,6.41,2.17,6.9
10.57,5.94,3.55,9.22
10.46,4.21,4.44,4.56
10.32,7.02,5.99,4.35
10.3,3.82,4.63,6.37
9.7,4.34,4.24,5.77
10.06,6.18,3.56,4.89
7.53,5.88,3.96,7.84
12.28,6.39,5.77,7.59
8.81,4.73,2.6,7.26
9.6,5.42,4.78,6.39
9.5,6.7,6.76,5.91
9.6,7.95,1.23,4.99
8.73,4.32,2.62,9.4
9.25,5.16,4.02,8.24
11.34,4.62,1.74,7.64
11.5,8.19,4.38,7.33
9.56,4.32,4.26,7.04
9.11,5.91,4.54,6.19
12.68,4.19,4.16,6.78
9.77,6.51,3.19,7.43
9.25,6.19,1.56,5.45
11.14,6.84,3.73,5.76
9.73,2.83,6.15,4.2
9.08,5.83,4.59,6.35
11.84,4.51,6.07,5.56
10.05,5.39,3.17,4.05
9.67,6.01,5.34,4.56
9.29,5.86,3.7,6.99
11.18,5.23,0.52,6.09
12.13,5.4,0.0,4.6
12.05,4.89,4.43,5.78
7.44,4.26,0.92,6.14
8.82,5.72,2.24,2.4
6.59,7.43,2.72,8.89
7.96,3.54,3.84,6.51
6.52,7.58,4.16,8.58
10.28,4.88,4.93,6.07
10.33,6.73,5.3,6.3
11.04,4.5,2.09,5.34
7.07,5.01,1.63,5.15
8.21,8.01,3.46,9.73
7.36,4.75,4.08,5.13
10.79,5.04,1.43,6.43
5.76,4.82,4.19,6.66
10.34,3.74,2.08,5.54
9.38,5.26,8.71,5.09
9.05,6.13,3.7,4.26
8.22,5.05,1.25,3.92
10.65,6.87,5.79,6.85
9.26,5.95,7.51,7.13
8.21,5.49,0.49,4.14
10.28,7.79,6.02,8.21
6.95,5.32,2.46,6.91
10.41,4.69,4.83,6.39
10.4,6.04,3.51,6.25
7.21,4.98,8.59,8.02
10.0,5.21,1.75,7.39
10.8,6.95,6.55,9.97
10.21,6.06,0.92,3.75
11.39,4.7,2.12,6.62
11.41,5.32,3.06,6.38
9.62,5.13,4.05,6.88
10.74,4.51,7.48,6.44
11.09,7.12,3.15,6.87
11.48,4.08,0.0,4.38
7.03,4.12,0.85,5.0
7.26,5.75,3.83,5.82
8.31,3.44,1.08,7.78
6.95,4.76,3.14,5.94
11.99,3.82,3.99,7.43
11.5,6.1,1.65,4.89
9.51,6.76,1.77,5.62
9.93,4.08,2.01,6.03
9.45,6.23,1.81,7.01
8.51,5.64,5.76,7.29
10.51,5.0,7.12,9.0
8.97,5.08,2.68,8.21
10.2,6.77,2.37,6.63
9.02,5.01,3.04,3.78
8.72,4.38,4.25,7.47
8.08,5.58,1.11,5.05
11.12,4.75,3.06,4.46
9.93,5.33,5.05,9.08
11.56,4.6,3.23,4.74
11.14,5.25,3.86,8.58
10.7,5.36,1.48,5.64
10.37,5.01,1.78,7.53
5.3,6.58,3.64,7.42
9.35,3.85,3.89,4.62
12.0,5.51,2.09,4.28
10.26,4.54,3.6,8.27
10.12,4.68,1.72,4.74
10.32,5.07,3.51,6.03
10.07,5.55,1.64,4.5
11.52,5.02,2.84,6.86
8.33,6.56,2.28,4.37
6.43,4.54,3.31,5.39
8.84,6.04,2.48,5.72
8.86,4.73,5.03,5.22
10.02,4.47,4.33,7.47
7.02,8.45,6.2,7.63
10.86,5.94,3.2,7.83
8.28,4.06,2.43,4.5
6.62,5.85,3.61,6.88
10.81,3.95,4.76,6.24
9.22,4.86,5.87,6.82
8.58,7.29,3.63,7.32
10.05,5.16,5.3,6.83
8.67,5.51,3.63,8.12
9.86,3.96,2.15,4.84
13.02,4.18,3.33,10.7
6.11,5.47,0.26,4.35
9.3,5.67,3.37,7.88
9.51,4.94,0.25,5.62
6.69,6.04,2.54,6.6
6.86,3.73,5.28,7.38
11.07,4.47,1.93,5.04
4.94,4.58,2.23,4.15
7.62,4.83,3.07,4.49
11.79,5.49,1.01,6.95
11.72,6.0,3.98,10.32
5.07,3.43,2.13,5.22
10.67,4.3,4.27,9.26
9.77,6.77,0.13,5.59
9.2,5.3,1.46,4.9
10.05,4.4,1.24,6.23
9.77,6.1,8.84,10.02
11.87,6.69,2.15,6.18
8.93,5.38,1.77,6.52
6.03,4.9,1.57,4.84
12.21,4.54,1.68,4.06
12.92,4.07,4.23,6.42
8.73,4.7,1.89,6.89
8.98,4.59,5.52,5.02
8.1,7.72,2.02,5.49
9.39,3.51,3.02,6.3
7.84,3.24,3.22,7.07
5.03,3.95,1.23,3.67
11.18,4.99,7.09,4.66
6.43,4.1,1.08,3.6
9.93,5.18,3.15,6.64
11.14,6.12,5.0,7.99
7.8,5.18,3.67,3.97
5.99,5.54,4.21,5.27
7.34,4.56,1.87,3.18
10.45,4.31,1.0,5.32
6.13,4.24,3.44,5.14
6.87,5.94,2.0,5.14
8.76,4.97,4.98,5.92
10.81,5.91,4.08,5.29
10.88,4.25,4.15,5.96
11.56,6.73,1.53,6.82
12.25,5.13,2.21,6.86
8.94,4.72,5.38,6.16
10.95,6.78,3.6,7.28
8.89,3.94,2.86,7.85
10.35,4.79,7.93,6.79
9.97,5.93,2.34,3.33
9.74,5.19,1.94,5.11
11.96,6.75,2.5,7.09
12.4,4.83,4.69,8.96
9.42,5.57,2.39,7.4
5.37,4.26,4.09,5.72
9.47,6.84,3.25,8.71
10.1,4.35,2.78,6.32
7.94,3.82,0.0,3.21
10.24,6.46,2.13,5.91
9.33,5.74,1.69,4.35
11.51,7.57,0.82,5.83
10.94,7.64,2.31,8.27
9.78,4.21,0.0,3.95
6.26,3.8,1.72,4.88
10.82,4.91,5.28,9.2
9.24,3.31,0.82,4.74
11.04,5.03,2.65,6.54
9.61,4.35,5.04,8.28
7.89,4.8,0.83,6.55
7.81,5.96,7.36,7.38
7.42,5.52,1.54,6.34
8.53,4.0,1.42,6.44
8.6,7.52,6.34,7.36
8.22,5.37,3.2,7.35
9.59,4.65,3.33,3.86
7.01,4.4,6.31,5.98
9.13,4.97,5.92,5.27
11.58,5.26,0.91,4.55
10.73,3.53,2.52,4.82
8.49,4.63,1.19,7.58
9.24,4.88,1.88,5.95
9.22,4.79,0.76,4.9
5.81,3.52,4.52,5.56
12.26,5.14,0.34,6.0
9.93,4.24,2.89,3.94
9.31,5.43,5.08,7.95
12.38,9.38,2.69,10.5
6.92,6.1,4.4,3.75
11.18,5.97,7.91,9.37
12.33,6.0,0.0,3.93
9.41,3.66,3.87,4.74
10.83,6.91,3.46,4.95
11.93,3.98,5.75,4.39
13.02,6.66,1.21,4.64
12.11,4.25,5.1,5.19
7.64,4.17,1.86,4.85
9.27,7.03,4.15,5.59
5.56,3.59,2.25,5.33
10.71,5.47,2.95,4.44
9.85,6.85,1.18,3.42
9.75,4.72,2.76,7.43
10.49,3.4,1.62,3.96
10.14,5.44,4.98,5.4
10.21,6.8,2.06,4.03
8.59,4.47,3.92,5.5
7.75,6.03,1.57,7.22
10.14,5.28,7.28,7.56
9.87,4.31,1.3,4.78
10.72,4.94,2.06,6.31
8.64,5.65,8.28,8.2
8.51,6.26,1.65,6.86
10.36,6.96,3.38,9.58
6.45,4.58,1.42,5.87
10.59,5.84,1.61,5.72
10.91,5.51,2.42,7.01
10.2,6.15,6.54,8.02
9.11,7.13,1.03,6.34
12.24,4.73,0.0,4.38
9.31,6.2,3.38,5.53
11.91,7.24,4.29,6.73
9.99,6.86,7.99,5.14
6.01,6.14,7.26,4.32
7.82,3.63,2.81,6.66
7.66,5.95,5.42,4.95
7.61,3.0,4.61,6.87
8.94,3.96,5.27,8.11
11.87,5.86,2.06,4.5
10.95,6.21,3.0,6.78
9.59,4.45,0.52,6.27
7.98,5.41,0.67,4.37
9.45,3.66,3.3,3.95
9.25,4.84,5.42,5.14
7.74,4.6,5.02,5.03
5.46,4.6,2.06,6.26
11.1,5.6,3.05,7.86
9.28,4.94,0.19,4.45
9.85,5.1,3.18,5.42
8.3,6.11,1.02,6.43
13.43,6.12,4.0,6.57
8.14,5.27,0.0,3.28
11.75,6.07,0.52,4.88
10.48,6.44,2.57,7.43
10.38,4.01,2.83,6.53
11.54,7.16,4.27,8.21
10.68,4.51,5.37,7.49
10.22,3.86,3.4,7.13
11.95,6.07,2.57,7.74
11.15,4.38,1.79,4.49
8.02,7.29,2.91,5.42
6.21,3.35,4.4,5.76
5.12,4.07,5.26,9.83
5.56,7.09,3.64,5.77
7.62,4.44,5.27,6.5
9.75,4.29,2.73,5.85
7.51,4.85,5.74,8.86
6.71,5.85,3.98,7.32
10.82,6.82,0.23,4.3
9.13,8.42,2.21,5.14
9.17,7.06,3.4,8.03
10.85,7.11,1.99,5.92
9.06,4.89,7.45,5.42
9.28,4.46,6.51,7.34
8.95,4.7,5.36,5.25
9.81,4.42,4.73,8.37
12.85,8.93,7.79,9.74
9.11,5.57,4.81,7.75
8.18,3.86,0.02,4.19
9.81,4.32,3.3,8.95
5.74,4.45,0.0,5.33
6.22,3.81,3.45,4.94
6.02,3.81,1.19,5.06
10.04,6.16,5.32,5.91
11.34,7.6,6.18,10.32
9.75,5.15,3.8,4.3
9.26,5.29,2.08,5.81
7.93,5.18,6.42,4.98
11.57,4.73,0.0,4.13
5.74,4.99,3.61,6.54
10.22,5.93,4.89,9.32
8.58,5.62,4.88,4.18
11.29,5.6,3.82,7.45
8.62,8.07,5.32,6.99
6.82,5.45,4.6,4.22
11.52,7.21,5.78,5.63
8.62,4.38,0.79,6.26
7.57,4.29,0.82,6.29
9.02,4.21,2.16,7.33
10.67,3.95,1.55,7.12
9.1,5.15,4.52,8.38
11.96,6.8,3.19,6.64
11.12,9.62,4.58,10.59
9.55,4.28,4.54,5.21
9.74,6.8,2.34,6.81
11.35,7.02,3.91,6.25
11.41,5.22,2.91,6.01
10.74,6.06,3.55,4.97
11.13,4.77,0.0,4.38
5.1,3.7,3.71,9.41
7.67,4.61,6.8,6.59
8.37,3.93,0.8,7.22
10.92,7.41,4.25,8.47
10.93,6.11,0.0,5.31
8.5,6.35,2.89,6.94
6.01,7.19,0.84,5.26
10.16,7.19,3.61,6.56
9.34,9.05,1.91,5.26
11.46,3.68,5.75,0.0
5.42,5.54,3.59,8.84
10.2,5.6,5.99,8.78
9.81,5.23,4.5,5.38
6.84,3.98,2.94,9.39
10.96,5.87,5.51,8.63
7.82,6.69,2.32,4.47
10.1,6.38,1.84,8.44
8.57,4.6,4.39,6.28
9.75,6.91,2.78,4.32
9.94,6.96,5.32,7.52
7.95,6.58,6.81,9.38
12.55,9.98,1.26,7.15
10.71,7.54,3.09,7.54
9.85,5.53,4.79,6.64
9.21,4.22,3.87,8.23
7.78,4.06,3.13,5.67
8.62,6.2,5.66,6.47
7.63,3.81,4.08,6.04
8.66,7.56,4.15,7.73
6.28,4.6,1.23,5.93
6.33,2.91,4.5,4.6
6.76,5.2,1.44,5.5
5.79,3.85,2.43,3.86
10.14,5.83,1.61,5.48
11.47,5.76,2.17,5.18
9.97,4.5,2.61,5.24
8.18,3.85,6.21,8.79
10.05,4.79,2.54,5.17
8.7,5.33,6.27,9.74
11.35,7.34,1.16,8.1
6.01,4.97,1.1,4.8
5.72,6.69,4.46,7.53
8.34,5.25,6.98,6.57
12.08,4.57,4.36,4.5
10.79,8.56,2.48,5.99
10.53,6.18,2.8,5.58
6.75,4.25,0.0,3.99
11.29,7.65,4.74,9.85
10.47,8.42,2.93,5.36
9.53,4.76,2.81,7.45
7.42,4.04,4.22,5.35
9.34,5.19,4.64,10.0
9.21,7.32,3.67,8.27
6.83,9.06,2.89,6.69
8.97,4.67,3.53,5.75
7.19,4.46,4.07,8.15
10.85,5.65,1.41,6.92
11.95,4.01,2.96,4.81
10.13,3.91,4.3,4.88
11.12,6.59,7.67,6.49
10.78,5.51,3.46,4.8
7.77,4.27,1.76,6.06
11.35,4.79,4.13,3.8
6.2,3.4,2.62,3.72
9.64,6.07,5.79,6.68
9.44,4.68,5.06,4.64
8.93,5.09,6.29,8.0
6.84,5.0,5.05,6.34
12.25,6.52,2.45,6.19
10.05,4.96,3.34,6.88
9.94,5.5,5.43,8.9
7.32,5.88,0.03,5.46
6.52,4.19,0.42,4.62
11.09,4.16,3.25,8.13
10.2,6.89,2.58,4.75
6.55,4.67,7.92,8.6
8.86,6.41,7.77,6.54
9.42,5.74,3.85,4.81
10.59,6.6,4.36,5.62
9.24,4.83,5.39,6.13
9.32,3.02,2.37,4.12
9.28,8.13,2.75,4.49
6.23,6.01,2.18,4.45
11.21,3.94,2.36,7.03
9.68,3.26,2.42,5.12
8.22,3.98,5.28,7.25
10.62,4.1,1.6,5.79
11.91,8.26,0.65,5.93
8.75,4.2,3.38,5.44
10.01,5.95,1.74,5.14
9.75,4.48,0.26,4.97
8.83,5.1,3.02,6.5
12.65,7.81,7.09,4.64
11.63,3.95,0.0,3.8
10.98,4.1,4.23,7.02
10.24,4.03,1.65,6.51
7.39,6.0,5.25,5.13
11.28,6.62,0.68,5.54
11.31,5.9,0.71,5.13
9.37,4.42,4.69,7.69
8.53,3.98,2.36,7.33
10.69,4.82,7.51,8.72
9.78,5.23,7.03,6.21
10.59,5.57,2.78,5.56
11.59,4.35,5.62,9.71
10.1,5.97,4.62,9.61
12.27,5.72,2.18,8.21
8.06,7.49,6.71,5.3
6.07,5.66,0.0,3.14
9.41,4.09,1.47,4.15
4.58,3.86,4.07,4.81
10.49,5.47,0.21,5.27
11.3,4.03,6.45,8.04
11.49,5.28,2.93,7.12
10.92,4.84,5.49,3.99
8.26,5.8,1.72,4.54
9.12,7.53,1.47,6.52
9.14,3.75,1.39,3.07
8.99,4.25,2.27,3.75
8.22,5.82,2.38,6.58
10.25,5.27,7.18,5.83
10.92,7.51,4.12,4.72
6.81,3.66,3.67,7.55
9.71,4.81,0.62,4.76
10.05,4.6,0.19,3.83
11.42,4.9,4.98,10.11
8.36,4.16,3.69,7.02
8.18,3.62,3.62,6.54
9.95,6.54,2.25,6.02
9.65,4.84,4.49,8.95
11.92,4.42,6.4,5.15
9.29,6.26,2.15,7.36
9.06,5.44,2.56,5.12
7.65,4.95,1.44,7.59
12.42,7.05,3.03,4.47
11.37,4.62,2.26,6.65
9.99,6.06,3.59,7.67
13.33,5.02,3.38,10.31
10.88,5.52,4.47,8.8
12.81,5.86,0.16,4.66
8.71,6.38,0.82,5.15
7.42,8.0,1.09,5.13
10.55,5.4,5.32,4.53
13.06,5.66,1.51,8.53
11.33,6.63,9.18,6.71
9.63,5.79,2.84,5.87
9.78,5.7,0.65,6.1
10.95,9.31,3.63,5.48
10.87,6.55,0.0,4.01
8.08,4.68,1.4,6.39
7.43,4.97,3.16,6.15
9.34,4.08,2.54,5.76
8.98,7.21,3.23,5.89
10.5,3.71,3.72,7.64
9.99,6.09,0.79,5.26
10.04,5.29,2.96,8.99
9.03,4.94,3.02,8.33
9.97,5.97,4.94,9.7
8.32,5.38,7.28,7.65
8.82,5.58,3.35,5.38
12.95,4.24,1.98,3.77
9.41,5.98,2.77,3.83
7.74,4.23,2.56,7.45
10.14,7.78,4.45,9.22
10.8,6.72,3.8,6.13
10.85,6.86,4.41,6.96
10.58,5.44,1.04,3.63
5.39,3.9,0.58,5.33
8.26,5.2,5.02,6.78
6.37,5.47,4.83,8.06
11.44,4.87,2.66,6.67
9.28,4.46,1.98,6.83
8.18,4.14,0.0,3.81
9.56,5.39,4.07,4.25
9.46,4.8,4.6,6.24
8.37,3.64,3.29,6.81
10.7,4.86,3.08,10.56
5.62,4.86,2.24,2.04
11.24,7.31,3.73,5.0
6.64,4.93,3.71,6.77
7.54,6.77,3.17,5.39
7.84,4.83,2.37,6.75
8.83,6.39,5.31,4.64
6.72,4.49,4.5,7.55
8.91,6.8,8.06,9.1
9.04,3.64,3.47,8.51
5.37,4.51,0.0,4.84
6.13,4.36,0.0,3.46
10.11,4.54,4.49,7.41
6.08,5.63,0.45,3.9
7.99,4.51,5.81,3.84
12.03,5.6,2.78,3.91
7.7,4.24,3.5,7.58
7.15,4.04,2.73,4.54
8.98,4.33,1.88,5.93
8.52,5.97,2.71,6.44
10.25,5.73,2.78,6.79
11.89,6.34,1.42,6.36
8.81,5.43,5.73,4.71
9.11,4.96,3.49,8.42
8.61,4.38,1.06,4.67
10.05,3.17,2.74,6.46
9.01,5.3,1.68,8.52
8.3,6.05,4.68,4.79
6.88,3.92,1.54,5.13
8.94,4.67,2.28,4.8
8.9,3.85,4.68,6.1
7.85,3.99,0.6,5.28
5.1,3.9,0.35,4.71
12.24,6.07,5.22,6.81
9.11,4.93,3.48,4.22
9.28,5.39,2.14,5.4
10.65,4.2,0.96,5.06
8.25,5.79,2.04,6.74
11.2,4.36,2.81,6.31
10.51,6.91,5.19,5.22
11.73,5.49,7.55,6.38
8.81,5.57,1.49,7.26
9.38,6.55,4.55,5.12
11.29,7.33,3.51,4.3
9.85,3.93,2.93,9.33
8.86,5.06,5.12,4.11
11.27,10.38,4.7,7.68
9.0,5.58,1.09,4.15
8.94,4.68,4.37,4.44
8.15,3.86,3.91,6.33
8.32,5.4,2.62,4.98
7.73,4.46,2.09,4.82
9.79,7.65,6.3,7.3
11.03,4.85,2.8,9.03
9.95,7.18,2.82,5.43
10.57,7.29,2.83,7.56
9.36,5.61,7.99,7.28
11.06,5.2,4.19,9.13
11.99,7.39,2.6,4.04
10.61,7.76,2.91,6.91
11.03,3.12,1.5,4.19
7.24,6.01,3.47,5.76
9.8,4.55,1.78,4.07
8.99,5.44,1.81,3.77
11.45,4.31,1.7,6.9
10.75,4.95,1.61,6.25
12.27,7.76,4.03,10.48
10.51,6.29,1.35,5.66
12.17,4.34,1.91,3.84
9.82,3.64,2.21,3.31
8.28,6.49,2.39,6.64
7.12,5.25,4.14,3.61
7.27,4.31,4.52,7.3
9.77,6.25,3.58,6.16
10.41,6.95,1.82,8.21
9.06,7.67,5.53,9.49
11.4,5.52,4.03,9.16
8.34,5.94,3.43,7.21
9.12,4.12,7.72,4.2
9.62,4.51,2.76,4.88
8.97,4.37,3.53,8.28
6.23,4.11,4.23,5.4
9.97,5.2,2.14,4.58
9.59,4.49,1.32,4.88
10.51,3.6,4.45,4.18
9.88,5.78,4.0,9.64
8.02,6.48,2.43,5.28
6.23,7.36,4.64,4.18
9.79,6.21,4.08,7.92
8.6,5.29,4.33,9.0
11.09,4.11,4.11,6.56
10.89,4.18,4.05,7.06
8.61,6.47,5.28,7.53
7.1,7.37,6.76,5.86
9.33,4.82,2.85,6.84
9.67,5.45,5.78,5.65
5.13,4.88,3.2,6.48
10.42,5.26,4.68,4.56
11.1,6.59,5.55,8.03
9.69,5.02,1.32,3.77
8.29,4.83,9.27,5.46
9.99,3.56,2.28,5.93
11.07,7.61,0.7,5.08
9.67,6.02,4.29,5.34
9.72,4.04,0.47,5.07
9.01,4.43,2.92,4.85
8.68,6.22,2.86,7.41
9.92,5.93,3.53,4.96
7.06,5.51,1.64,7.32
8.05,4.3,1.02,5.61
9.92,5.77,4.64,4.64
10.12,5.05,0.0,5.53
9.8,5.09,3.04,8.01
9.17,4.64,1.76,6.56
9.32,4.67,5.24,5.75
9.74,5.93,4.07,8.74
8.86,8.85,0.35,4.86
12.0,4.06,2.86,4.75
8.28,4.92,3.83,3.93
10.74,8.21,3.55,6.42
8.78,5.17,0.28,4.99
9.44,3.62,2.16,4.34
10.27,4.52,3.59,3.22
8.01,7.07,0.4,4.53
8.46,3.53,3.23,5.93
9.97,5.88,3.03,5.9
7.13,5.81,0.55,4.63
7.89,3.96,1.09,5.03
11.94,6.63,4.42,7.17
7.33,5.33,3.54,4.84
10.84,3.67,6.72,7.51
7.64,4.41,6.47,4.11
12.59,4.69,3.95,6.38
9.15,6.13,4.53,4.69
12.02,7.0,2.4,6.71
12.4,4.34,3.52,5.26
11.24,4.33,2.09,4.05
6.67,5.97,1.29,5.04
9.39,4.24,3.0,5.53
9.3,5.33,5.53,8.32
11.14,4.23,5.73,4.99
10.22,3.81,1.59,5.48
8.22,5.93,3.42,8.97
11.23,7.53,3.31,6.63
11.62,5.69,1.18,3.89
9.46,4.27,5.62,4.86
8.65,4.14,5.24,7.41
11.03,7.25,5.96,10.09
10.7,5.77,3.6,6.43
4.27,6.03,2.43,7.39
5.78,4.91,5.25,3.62
9.08,4.63,2.71,7.49
9.04,4.63,2.74,4.26
4.95,4.4,2.99,7.18
9.01,5.11,6.93,9.48
9.49,5.74,4.61,8.23
9.32,3.72,3.67,7.61
9.32,3.82,3.64,6.47
10.18,5.26,2.82,6.26
10.32,4.47,2.93,7.82
11.44,8.9,4.88,4.36
10.9,4.26,9.31,10.31
7.24,6.52,3.27,7.66
10.84,4.64,1.2,4.79
10.48,4.58,2.12,4.95
8.21,4.32,1.15,6.13
7.81,5.11,2.63,4.72
6.68,5.54,3.71,8.95
6.79,6.59,1.75,6.49
10.44,4.32,1.48,5.82
8.23,3.8,1.59,6.91
12.55,4.3,3.6,3.66
9.35,5.97,4.93,4.04
7.06,4.29,3.95,8.1
8.11,3.25,2.12,6.04
10.31,5.32,1.25,3.86
5.69,6.01,3.17,3.14
11.53,6.06,2.26,6.26
10.46,4.1,5.31,7.5
8.27,8.08,8.58,9.92
9.28,7.6,6.66,7.16
11.06,4.38,5.97,10.06
10.72,5.31,3.11,5.92
9.54,5.12,4.07,8.26
8.68,7.5,1.9,5.83
8.42,5.83,5.4,8.13
8.09,5.1,7.61,10.3
7.83,6.47,0.82,5.71
8.25,4.04,5.6,4.83
11.59,8.65,3.14,8.17
9.19,5.27,0.0,5.23
7.36,4.27,1.03,4.15
10.24,4.89,3.58,7.82
6.88,4.35,2.07,5.16
10.69,4.37,2.97,7.1
7.78,5.94,3.07,4.29
9.04,5.04,2.93,4.81
7.95,4.39,0.0,1.89
9.91,5.6,1.53,4.37
5.77,5.37,4.21,6.03
9.39,4.5,1.03,5.64
9.33,4.43,5.74,5.6
9.13,5.06,2.13,4.85
10.22,4.26,3.54,8.27
8.97,5.24,5.22,8.72
8.98,4.82,1.63,6.33
11.78,5.55,3.16,8.22
3.91,4.33,3.7,5.12
5.12,4.16,0.45,5.74
11.44,6.18,1.97,4.94
9.9,4.49,3.87,6.97
10.39,3.7,2.25,8.4
7.48,4.14,2.62,5.45
12.43,6.33,1.57,3.59
9.34,5.28,5.53,7.27
9.39,5.05,3.33,5.7
8.44,4.91,3.15,7.08
11.4,4.35,1.57,5.31
11.53,6.91,1.58,6.47
9.47,5.53,2.06,6.56
10.06,5.64,1.46,3.41
8.29,4.06,3.81,3.92
7.86,5.76,4.29,5.9
9.44,6.96,3.95,6.88
11.73,7.93,3.28,10.05
12.08,3.87,5.89,5.69
12.67,6.36,1.55,7.47
10.65,4.32,2.63,5.85
10.56,5.09,2.54,6.58
10.79,4.05,0.35,4.69
8.81,6.78,5.18,5.72
5.62,4.04,1.71,5.51
10.25,5.1,0.46,5.11
9.45,5.24,0.81,5.17
7.13,8.05,2.6,8.57
5.89,6.08,4.71,7.97
9.49,5.94,3.07,4.18
11.1,7.41,2.17,6.58
9.54,4.56,0.57,3.83
7.72,6.56,3.57,8.32
8.37,3.79,0.0,2.92
5.57,6.55,2.03,6.76
9.99,4.75,1.78,6.23
8.89,4.8,4.4,5.26
7.44,4.26,3.43,4.81
10.26,4.08,3.57,3.74
10.39,9.55,7.45,6.75
8.62,3.79,2.17,7.13
6.65,6.98,6.27,8.78
7.51,4.69,3.82,9.14
5.0,6.75,5.37,5.47
10.13,9.41,5.17,5.31
10.54,5.6,6.82,10.69
10.92,5.19,2.48,5.11
9.79,4.92,1.04,6.72
9.45,5.92,3.2,5.96
8.65,7.3,6.63,7.81
7.92,5.7,4.91,4.63
7.49,5.4,5.39,8.66
10.59,5.17,3.87,5.73
10.37,4.35,2.03,4.27
9.96,4.22,0.0,2.9
8.06,3.82,4.73,7.21
7.56,4.31,3.51,5.54
11.9,4.8,2.3,5.78
12.21,6.3,7.91,6.67
8.68,4.57,5.18,7.72
8.53,6.25,5.03,3.75
11.78,4.81,4.37,5.05
10.74,5.68,3.23,7.31
13.23,5.13,6.07,7.97
6.94,4.15,3.84,6.34
12.26,4.83,2.23,7.25
10.94,5.67,2.66,8.41
9.16,4.92,2.22,8.32
8.68,6.59,2.88,8.31
